model,params,refit_fallbacks,feature_set,repeat,fold,train_rmse,test_rmse
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}, ""alkane"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}, ""alkene/alkyne"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}, ""amine"": {""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}}",,curated (log),1,2,11.532997346993742,39.8455248972868
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log) + family,1,2,35.88952477748114,35.911198737597914
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}",0.0,curated (log) + family,1,2,14.512922412242743,39.32519898966983
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log) + family,1,2,23.499221225554294,39.13259025487519
ensemble,,,curated (log) + family,1,2,21.55393811502275,34.73878992644242
ridge,"{""regressor__model__alpha"": 1}",0.0,old 12,1,3,38.36994327158104,40.53071476914433
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}",0.0,old 12,1,3,19.12069276878259,37.67133960236639
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,old 12,1,3,24.30059715879072,32.916854148178516
ensemble,,,old 12,1,3,24.418770056734182,33.61576880516004
ridge,"{""regressor__model__alpha"": 1}",0.0,curated,1,3,35.65438057347634,38.682357247406316
