strategy,seed,experiment,row,boiling_point,in_spec,hits,cmpdname
random,12,149,1156,471.15,True,24,5-Ethyl-5-methylnonane
random,12,150,970,421.15,False,24,"(3S)-3,5-dimethylhex-1-yn-3-ol"
mw_heuristic,12,1,311,584.2,False,0,2-Methylheptadecane
mw_heuristic,12,2,236,395.15,False,0,2-Methyl-2-heptene
mw_heuristic,12,3,727,492.55,False,0,3-Dodecyne
mw_heuristic,12,4,248,591.15,False,0,1-Pentadecanol
mw_heuristic,12,5,760,405.15,False,0,"2,4-Dimethyl-4-penten-2-ol"
mw_heuristic,12,6,1178,452.15,False,0,"2,3,4-Trimethylhexan-3-ol"
mw_heuristic,12,7,437,433.15,False,0,"2,2,3,3-Tetramethylhexane"
mw_heuristic,12,8,223,416.15,False,0,"3,3-Dimethyl-1-butanol"
mw_heuristic,12,9,1210,450.15,False,0,3-Methyl-4-isopropylheptane
mw_heuristic,12,10,80,388.65,False,0,N-Methylethylenediamine
mw_heuristic,12,11,126,479.15,False,0,"2,5-Dimethyl-3-hexyne-2,5-diol"
mw_heuristic,12,12,625,466.65,True,1,1-Nonen-3-ol
mw_heuristic,12,13,279,440.15,False,1,2-Methylnonane
